layer_height,wall_thickness,infill_density,nozzle_temperature,material_pla,tension_strenght
0.02,8.0,90.0,220.0,0.0,18
0.02,7.0,90.0,225.0,0.0,16
0.02,1.0,80.0,230.0,0.0,8
0.02,4.0,70.0,240.0,0.0,10
0.02,6.0,90.0,250.0,0.0,5
0.02,10.0,40.0,200.0,1.0,24
0.02,5.0,10.0,205.0,1.0,12
0.02,10.0,10.0,210.0,1.0,14
0.02,9.0,70.0,215.0,1.0,27
0.02,8.0,40.0,220.0,1.0,25
0.06,6.0,80.0,220.0,0.0,37
0.06,2.0,20.0,225.0,0.0,12
0.06,10.0,50.0,230.0,0.0,16
0.06,6.0,10.0,240.0,0.0,9
0.06,3.0,50.0,250.0,0.0,10
0.06,10.0,90.0,200.0,1.0,27
0.06,3.0,40.0,205.0,1.0,23
0.06,8.0,30.0,210.0,1.0,26
0.06,5.0,80.0,215.0,1.0,33
0.06,10.0,50.0,220.0,1.0,29
0.1,1.0,40.0,220.0,0.0,16
0.1,2.0,30.0,225.0,0.0,12
0.1,1.0,50.0,230.0,0.0,10
0.1,9.0,80.0,240.0,0.0,19
0.1,2.0,60.0,250.0,0.0,8
0.1,1.0,50.0,200.0,1.0,11
0.1,4.0,40.0,205.0,1.0,12
0.1,3.0,50.0,210.0,1.0,18
0.1,4.0,90.0,215.0,1.0,34
0.1,1.0,30.0,220.0,1.0,14
0.15,4.0,50.0,220.0,0.0,27
0.15,7.0,10.0,225.0,0.0,19
0.15,6.0,50.0,230.0,0.0,18
0.15,1.0,50.0,240.0,0.0,9
0.15,7.0,80.0,250.0,0.0,13
0.15,3.0,80.0,200.0,1.0,33
0.15,4.0,50.0,205.0,1.0,24
0.15,10.0,30.0,210.0,1.0,26
0.15,6.0,40.0,215.0,1.0,22
0.15,1.0,10.0,220.0,1.0,4
0.2,4.0,80.0,220.0,0.0,35
0.2,9.0,90.0,225.0,0.0,34
0.2,7.0,30.0,230.0,0.0,28
0.2,6.0,90.0,240.0,0.0,28
0.2,3.0,80.0,250.0,0.0,21
0.2,5.0,60.0,200.0,1.0,28
0.2,4.0,20.0,205.0,1.0,14
0.2,5.0,60.0,210.0,1.0,30
0.2,7.0,40.0,215.0,1.0,29
0.2,3.0,60.0,220.0,1.0,27
